time(s),mvs,
91.090,-77.50000,
91.290,-77.75000,
91.491,-77.87500,
91.692,-78.12500,
91.892,-78.25000,
92.093,-78.00000,
92.294,-77.87500,
92.494,-78.37500,
92.695,-78.37500,
92.895,-78.37500,
93.096,-78.50000,
93.297,-78.50000,
93.497,-78.50000,
93.698,-78.62500,
93.899,-78.75000,
94.099,-78.87500,
94.300,-78.87500,
94.501,-79.00000,
94.701,-79.00000,
94.902,-79.25000,
95.102,-79.12500,
95.303,-79.37500,
95.504,-79.62500,
95.704,-79.75000,
95.905,-79.75000,
96.106,-79.75000,
96.306,-79.62500,
96.507,-79.87500,
96.708,-79.87500,
96.908,-79.87500,
97.109,-79.87500,
97.309,-80.00000,
97.510,-80.25000,
97.711,-80.25000,
97.911,-80.25000,
98.112,-80.50000,
98.313,-80.37500,
98.513,-80.25000,
98.714,-80.62500,
98.915,-80.62500,
99.115,-80.50000,
99.316,-80.87500,
99.517,-80.75000,
99.717,-80.75000,
99.918,-80.75000,
100.118,-81.00000,
100.319,-81.00000,
100.520,-81.12500,
100.720,-81.12500,
100.921,-81.25000,
101.122,-81.12500,
101.322,-81.37500,
101.523,-81.62500,
101.724,-81.62500,
101.924,-81.62500,
102.125,-81.50000,
102.325,-81.75000,
102.526,-81.75000,
102.727,-81.75000,
102.927,-81.75000,
103.128,-81.75000,
103.329,-81.87500,
103.529,-82.00000,
103.730,-82.00000,
103.931,-82.12500,
104.131,-82.12500,
104.332,-82.25000,
104.532,-82.25000,
104.733,-82.37500,
104.934,-82.25000,
105.134,-82.37500,
105.335,-82.37500,
105.536,-82.37500,
105.736,-82.50000,
105.937,-82.62500,
106.138,-82.62500,
106.338,-82.75000,
106.539,-82.50000,
106.739,-82.75000,
106.940,-83.00000,
107.141,-82.87500,
107.341,-82.75000,
107.542,-83.00000,
107.743,-82.87500,
107.943,-82.75000,
108.144,-83.00000,
108.345,-83.25000,
108.545,-83.25000,
108.746,-83.25000,
108.947,-83.25000,
109.147,-83.37500,
109.348,-83.25000,
109.548,-83.12500,
109.749,-83.37500,
109.950,-83.50000,
110.150,-83.50000,
110.351,-83.62500,
110.552,-83.62500,
110.752,-83.50000,
110.953,-83.75000,
111.153,-83.75000,
111.354,-83.87500,
111.555,-83.75000,
111.755,-83.87500,
111.956,-83.75000,
112.157,-83.87500,
112.357,-83.87500,
112.558,-83.87500,
112.759,-84.12500,
112.959,-84.12500,
113.160,-84.12500,
113.360,-84.12500,
113.561,-84.25000,
113.762,-84.37500,
113.962,-84.37500,
114.163,-84.37500,
114.364,-84.62500,
114.564,-84.37500,
114.765,-84.75000,
114.965,-84.62500,
115.166,-84.75000,
115.367,-84.62500,
115.567,-84.62500,
115.768,-84.62500,
115.969,-84.50000,
116.169,-84.62500,
116.370,-84.87500,
116.571,-85.00000,
116.771,-84.87500,
116.972,-84.75000,
117.172,-84.75000,
117.373,-84.87500,
117.574,-84.87500,
117.774,-85.25000,
117.975,-85.00000,
118.176,-85.12500,
118.376,-85.12500,
118.577,-85.25000,
118.778,-85.25000,
118.978,-85.12500,
119.179,-85.12500,
119.380,-85.25000,
119.580,-85.25000,
119.781,-85.25000,
119.981,-85.25000,
120.182,-85.25000,
120.383,-85.37500,
120.583,-85.50000,
120.784,-85.50000,
120.985,-85.37500,
121.185,-85.62500,
121.386,-85.62500,
121.587,-85.50000,
121.787,-85.62500,
121.988,-85.62500,
122.188,-85.75000,
122.389,-85.87500,
122.590,-85.75000,
122.790,-85.87500,
122.991,-86.00000,
123.192,-85.87500,
123.392,-86.00000,
123.593,-85.87500,
123.794,-86.00000,
123.994,-86.12500,
124.195,-85.75000,
124.395,-86.12500,
124.596,-86.12500,
124.797,-86.12500,
124.997,-86.12500,
125.198,-86.00000,
125.399,-86.12500,
125.599,-86.25000,
125.800,-86.12500,
126.001,-86.50000,
126.201,-86.50000,
126.402,-86.62500,
126.602,-86.37500,
126.803,-86.50000,
127.004,-86.50000,
127.204,-86.50000,
127.405,-86.37500,
127.606,-86.75000,
127.806,-86.50000,
128.007,-86.75000,
128.208,-86.62500,
128.408,-86.75000,
128.609,-86.87500,
128.810,-86.87500,
129.010,-86.75000,
129.211,-86.87500,
129.411,-86.62500,
129.612,-86.62500,
129.813,-86.62500,
130.013,-86.75000,
130.214,-86.75000,
130.415,-86.75000,
130.615,-87.00000,
130.816,-86.87500,
131.017,-87.12500,
131.217,-86.87500,
131.418,-87.00000,
131.619,-87.00000,
131.819,-87.00000,
132.020,-87.00000,
132.221,-87.00000,
132.421,-87.12500,
132.622,-87.25000,
132.822,-87.12500,
133.023,-87.37500,
133.224,-87.25000,
133.424,-87.37500,
133.625,-87.37500,
133.826,-87.12500,
134.026,-87.50000,
134.227,-87.50000,
134.428,-87.50000,
134.628,-87.62500,
134.829,-87.25000,
135.029,-87.50000,
135.230,-87.50000,
135.431,-87.75000,
135.631,-87.75000,
135.832,-87.62500,
136.033,-87.50000,
136.233,-87.87500,
136.434,-87.87500,
136.635,-87.75000,
136.835,-87.87500,
137.036,-88.00000,
137.236,-87.75000,
137.437,-87.75000,
137.638,-87.87500,
137.838,-88.00000,
138.039,-87.87500,
138.240,-87.75000,
138.440,-88.12500,
138.641,-88.12500,
138.842,-87.87500,
139.042,-87.75000,
139.243,-87.87500,
139.443,-87.87500,
139.644,-88.12500,
139.845,-88.00000,
140.045,-88.37500,
140.246,-88.37500,
140.447,-88.37500,
140.647,-88.12500,
140.848,-88.37500,
141.049,-88.25000,
141.249,-88.25000,
141.450,-88.37500,
141.650,-88.37500,
141.851,-88.50000,
142.052,-88.50000,
142.252,-88.50000,
142.453,-88.62500,
142.654,-88.62500,
142.854,-88.62500,
