time: 88.196, mvs: -117.00000
time: 88.396, mvs: -117.12500
time: 88.597, mvs: -117.00000
time: 88.798, mvs: -117.12500
time: 88.998, mvs: -117.12500
time: 89.199, mvs: -117.12500
time: 89.400, mvs: -117.12500
time: 89.600, mvs: -117.12500
time: 89.801, mvs: -117.12500
time: 90.002, mvs: -117.12500
time: 90.203, mvs: -117.12500
time: 90.403, mvs: -117.25000
time: 90.604, mvs: -117.12500
time: 90.805, mvs: -117.37500
time: 91.006, mvs: -117.37500
time: 91.209, mvs: -117.25000
time: 91.411, mvs: -117.37500
time: 91.612, mvs: -117.37500
time: 91.812, mvs: -117.37500
time: 92.013, mvs: -117.62500
time: 92.214, mvs: -117.50000
time: 92.415, mvs: -117.62500
time: 92.616, mvs: -117.37500
time: 92.817, mvs: -117.50000
time: 93.018, mvs: -117.37500
time: 93.218, mvs: -117.62500
time: 93.419, mvs: -117.50000
time: 93.620, mvs: -117.50000
time: 93.821, mvs: -117.62500
time: 94.021, mvs: -117.62500
time: 94.222, mvs: -117.62500
time: 94.423, mvs: -117.50000
time: 94.623, mvs: -117.50000
time: 94.824, mvs: -117.50000
time: 95.025, mvs: -117.75000
time: 95.226, mvs: -117.62500
time: 95.426, mvs: -117.75000
time: 95.627, mvs: -117.75000
time: 95.828, mvs: -117.75000
time: 96.029, mvs: -117.75000
time: 96.229, mvs: -117.75000
time: 96.430, mvs: -117.75000
time: 96.631, mvs: -117.75000
time: 96.831, mvs: -117.75000
time: 97.032, mvs: -117.62500
time: 97.233, mvs: -117.75000
time: 97.433, mvs: -117.87500
time: 97.634, mvs: -117.75000
time: 97.835, mvs: -117.75000
time: 98.036, mvs: -117.87500
time: 98.237, mvs: -117.87500
time: 98.438, mvs: -117.87500
time: 98.639, mvs: -117.87500
time: 98.842, mvs: -117.87500
time: 99.042, mvs: -117.87500
time: 99.243, mvs: -118.12500
time: 99.444, mvs: -118.00000
time: 99.645, mvs: -118.00000
time: 99.846, mvs: -118.12500
